,id,suc,store_point,lon,lat
98,Danos,Iglesia del Barrio de San Juan Bautista: sin detalles,POINT (-98.04763439999999 18.2009815) ,-98.0476344,18.2009815
99,Danos,Centro de Educacion a Distancia Acatlan de Osorio: sin detalles,POINT (-98.04533000000004 18.19704) ,-98.04533,18.19704
100,Danos,Santa Ana Coatepec: sin detalles,POINT (-98.43568069999998 18.8363244) ,-98.4356807,18.8363244
101,Danos,Santo Domingo: sin detalles,POINT (-98.46452750000003 18.5990875) ,-98.4645275,18.5990875
102,Danos,Ex-convento de San Miguel Arcangel: sin detalles,POINT (-98.4045208 19.1587804) ,-98.4045208,19.1587804
103,Danos,San Cristobal Tepontla: sin detalles,POINT (-98.32663960000002 19.0696041) ,-98.3266396,19.0696041
104,Danos,Iglesia de Santa Mara Tonantzintla: sin detalles,POINT (-98.31974120000001 19.0298414) ,-98.3197412,19.0298414
105,Danos,San Francisco: sin detalles,POINT (-98.3087243 19.0221617) ,-98.3087243,19.0221617
106,Danos,Iglesia de Santo Tomas Chautla: Cuarteaduras en torre y desprendimiento de techo en la cupula,POINT (-98.15452390000002 18.963057) ,-98.1545239,18.963057
107,Danos,Primaria Progreso: sin detalles,POINT (-98.15429 18.961048) ,-98.15429,18.961048
108,Danos,"Centro de Integral de Servicios (CIS), Tepexi de Rodrguez: Desprendimiento de plafon del techo y cristales",POINT (-97.9269104 18.5784204) ,-97.9269104,18.5784204
109,Danos,Ex Convento Franciscano: Afectacion estructural,POINT (-97.73020150000002 18.8864014) ,-97.7302015,18.8864014
110,Danos,Universidad Politecnica de Amozoc: Afectacion estructural,POINT (-98.04196530000002 19.0743368) ,-98.0419653,19.0743368
111,Danos,Iglesia de los Remedios: Cada de 2 cupulas de las torres,POINT (-98.30178699999999 19.058054) ,-98.301787,19.058054
112,Danos,Parroquia de San Pedro Cholula: Fracturas en la torre principal,POINT (-98.30634250000003 19.0636282) ,-98.3063425,19.0636282
113,Danos,Iglesia de San Miguelito: sin detalles,POINT (-98.3184685 19.0293809) ,-98.3184685,19.0293809
114,Danos,Convento de San Gabriel: Cada de las cupulas de las torres,POINT (-98.30463220000001 19.0622259) ,-98.3046322,19.0622259
115,Danos,Parroquia de Santa Mara de la Natividad: sin detalles,POINT (-98.43368929999997 18.909612) ,-98.4336893,18.909612
116,Danos,Ayuntamiento Constitucional de Atlixco: sin detalles,POINT (-98.43397329999999 18.9091843) ,-98.4339733,18.9091843
117,Danos,Ex-convento del Carmen: sin detalles,POINT (-98.43283529999997 18.9088008) ,-98.4328353,18.9088008
118,Danos,Iglesia de Santiago Apostol: Cada de cupula y techo,POINT (-98.55347540000002 18.5452973) ,-98.5534754,18.5452973
119,Danos,Parroquia Divino Salvador: sin detalles,POINT (-98.09536809999997 19.0472208) ,-98.0953681,19.0472208
120,Danos,Altepexi: Cerro desgajado,POINT (-97.29822239999999 18.3693599) ,-97.2982224,18.3693599
121,Danos,Hospital General de Acatlan: sin detalles,POINT (-98.05637589999998 18.1860514) ,-98.0563759,18.1860514
122,Danos,Centro Integral de Servicios Acatlan de Osorio: sin detalles,POINT (-98.0526681 18.1938026) ,-98.0526681,18.1938026
123,Danos,Centro Escolar Pdte. Lic. Benito Juarez: sin detalles,POINT (-98.0437571 18.2030203) ,-98.0437571,18.2030203
124,Danos,Iglesia del Barrio de San Juan Bautista: sin detalles,POINT (-98.04763439999999 18.2009815) ,-98.0476344,18.2009815
125,Danos,Centro de Educacion a Distancia Acatlan de Osorio: sin detalles,POINT (-98.04533000000004 18.19704) ,-98.04533,18.19704
